Location, Total, Working, Size,
Illinois, 1, 1, 4715297,
Illinois, 1, 1, 1856327,
Illinois, 1, 1, 2827909,
Illinois, 3, 1, 9259973,
Illinois, 2, 2, 4859714,
Indiana, 3, 2, 9390393,
Indiana, 3, 3, 9462311,
Indiana, 4, 4, 7843759,
Indiana, 2, 2, 7294710,
Indiana, 2, 2, 12969553,
Michigan, 2, 2, 1365735,
Michigan, 2, 2, 3935107,
Michigan, 1, 1, 2779509,
Michigan, 1, 1, 2010883,
Michigan, 2, 1, 2419859,
Ohio, 2, 1, 7734763,
Ohio, 2, 1, 1404610,
Ohio, 1, 0, 0,
Ohio, 1, 0, 0,
Ohio, 2, 1, 3858136,
Kentucky, 1, 1, 6101195,
Kentucky, 2, 2, 13626572,
Kentucky, 1, 0, 0,
Kentucky, 1, 0, 0,
Kentucky, 1, 1, 11673876,
Pennsylvania, 2, 2, 11095256,
Pennsylvania, 2, 2, 12646226,
Pennsylvania, 2, 2, 11779760,
Pennsylvania, 3, 3, 15093566,
Pennsylvania, 2, 2, 13830714,
New York, 1, 1, 12527973,
New York, 0, 0, 0,
New York, 1, 1, 16761137,
New York, 2, 2, 19547202,
New York, 1, 1, 22831304,
Vermont, 2, 2, 8769010,
Vermont, 3, 2, 11187916,
Vermont, 1, 1, 25578608,
Vermont, 2, 2, 17617465,
Vermont, 2, 2, 1667156,
New Hampshire, 4, 0, 0,
New Hampshire, 0, 0, 0,
New Hampshire, 0, 0, 0,
New Hampshire, 2, 0, 0,
New Hampshire, 2, 0, 0,
Maine, 1, 1, 14828361,
Maine, 1, 1, 19017722,
Maine, 2, 2, 17666829,
Maine, 2, 2, 22335226,
Maine, 1, 1, 15693699,
Massachusetts, 2, 2, 13825243,
Massachusetts, 2, 1, 9579399,
Massachusetts, 8, 6, 54852666,
Massachusetts, 3, 2, 32059570,
Massachusetts, 2, 2, 7136145,
Connecticut, 1, 1, 3108201,
Connecticut, 2, 2, 2421049,
Connecticut, 2, 2, 3336587,
Connecticut, 1, 1, 3354396,
Connecticut, 2, 2, 2287038,
Rhode Island, 2, 2, 17120756,
Rhode Island, 2, 2, 13157333,
Rhode Island, 2, 2, 9569616,
Rhode Island, 2, 2, 10136467,
Rhode Island, 2, 2, 11646434,
Delaware, 1, 1, 9497356,
Delaware, 1, 1, 12743665,
Delaware, 1, 1, 8835203,
Delaware, 1, 1, 7228655,
Delaware, 1, 1, 8878509,
Maryland, 1, 1, 11516470,
Maryland, 0, 0, 0,
Maryland, 4, 2, 13936378,
Maryland, 4, 1, 6955926,
Maryland, 2, 2, 6970040,
West Virginia, 1, 1, 24151639,
West Virginia, 1, 1, 57056472,
West Virginia, 1, 1, 23886858,
West Virginia, 3, 2, 9658369,
West Virginia, 2, 2, 9713075,
Virginia, 3, 3, 9032769,
Virginia, 2, 2, 12427970,
Virginia, 1, 1, 36672851,
Virginia, 1, 1, 51477353,
Virginia, 1, 1, 35747760,
North Carolina, 2, 1, 39822348,
North Carolina, 2, 1, 21820322,
North Carolina, 3, 2, 8376320,
North Carolina, 4, 3, 16325074,
North Carolina, 1, 0, 0,
South Carolina, 2, 2, 21617747,
South Carolina, 1, 1, 19278712,
South Carolina, 2, 2, 10199558,
South Carolina, 2, 2, 12816869,
South Carolina, 1, 1, 5534465,
Tennessee, 2, 2, 3469357,
Tennessee, 1, 1, 20056126,
Tennessee, 1, 1, 13459333,
Tennessee, 1, 1, 19959746,
Tennessee, 1, 1, 19601845,
Georgia, 2, 1, 4735283,
Georgia, 1, 1, 7493399,
Georgia, 1, 1, 19242045,
Georgia, 1, 1, 6743359,
Georgia, 2, 2, 4607894,
Florida, 1, 1, 8846006,
Florida, 2, 2, 48195166,
Florida, 2, 1, 80525119,
Florida, 3, 3, 50850329,
Florida, 2, 2, 123228284,
Alabama, 2, 2, 17736468,
Alabama, 1, 1, 11767087,
Alabama, 1, 1, 10074196,
Alabama, 2, 2, 38528908,
Alabama, 1, 1, 14576075,
Mississippi, 2, 2, 5078659,
Mississippi, 1, 1, 10288630,
Mississippi, 2, 2, 6251960,
Mississippi, 2, 2, 14725325,
Mississippi, 1, 1, 11281396,
Arkansas, 1, 1, 8368323,
Arkansas, 3, 3, 11905431,
Arkansas, 2, 2, 60055422,
Arkansas, 1, 1, 7169116,
Arkansas, 1, 1, 9137068,
